filename,mode,rows_loaded,datetime_mismatches,mismatch_details,status
session_orpa_20260215_081311_gemini-3-flash-preview-cloud_0.5_sam.log,orpa,65,0,,success
session_orpa_20260215_081304_gemini-3-flash-preview-cloud_0.3_sam.log,orpa,65,0,,success
session_orpda_20260214_174403_gemini-3-flash-preview-cloud_0.7_maria.log,orpda,57,0,,success
session_orpda_20260214_174356_gemini-3-flash-preview-cloud_0.5_maria.log,orpda,57,0,,success
session_orpda_20260214_174352_gemini-3-flash-preview-cloud_0.3_maria.log,orpda,57,0,,success
session_orpa_20260214_174345_gemini-3-flash-preview-cloud_0.7_maria.log,orpa,57,0,,success
session_orpa_20260214_174340_gemini-3-flash-preview-cloud_0.5_maria.log,orpa,57,0,,success
session_orpa_20260214_174335_gemini-3-flash-preview-cloud_0.3_maria.log,orpa,57,0,,success
session_orpa_20260214_110856_gemini-3-flash-preview-cloud_0.7_maria.log,orpa,57,0,,success
session_orpa_20260214_110852_gemini-3-flash-preview-cloud_0.5_maria.log,orpa,57,0,,success
session_orpa_20260214_110845_gemini-3-flash-preview-cloud_0.3_maria.log,orpa,57,0,,success
session_orpa_20260214_110757_gemini-3-flash-preview-cloud_0.7_hailey.log,orpa,65,0,,success
session_orpa_20260214_110752_gemini-3-flash-preview-cloud_0.7_hailey.log,orpa,65,0,,success
session_orpa_20260214_110745_gemini-3-flash-preview-cloud_0.5_hailey.log,orpa,65,0,,success
session_orpa_20260214_110742_gemini-3-flash-preview-cloud_0.5_hailey.log,orpa,65,0,,success
session_orpa_20260214_110736_gemini-3-flash-preview-cloud_0.3_hailey.log,orpa,59,0,,success
session_orpa_20260214_110641_gemini-3-flash-preview-cloud_0.7_isabella.log,orpa,69,0,,success
session_orpa_20260214_110635_gemini-3-flash-preview-cloud_0.5_isabella.log,orpa,69,0,,success
session_orpa_20260214_110628_gemini-3-flash-preview-cloud_0.3_isabella.log,orpa,69,0,,success
session_orpda_20260214_073036_gemini-3-flash-preview-cloud_0.5_sam.log,orpda,65,0,,success
session_orpa_20260214_073103_gemini-3-flash-preview-cloud_0.5_sam.log,orpa,65,0,,success
session_orpda_20260214_073041_gemini-3-flash-preview-cloud_0.3_sam.log,orpda,65,0,,success
session_orpda_20260214_073030_gemini-3-flash-preview-cloud_0.7_sam.log,orpda,65,0,,success
session_orpa_20260214_073056_gemini-3-flash-preview-cloud_0.3_sam.log,orpa,65,0,,success
session_orpda_20260214_072817_gemini-3-flash-preview-cloud_0.7_isabella.log,orpda,69,0,,success
session_orpa_20260214_072833_gemini-3-flash-preview-cloud_0.7_isabella.log,orpa,69,0,,success
session_orpda_20260214_072810_gemini-3-flash-preview-cloud_0.5_isabella.log,orpda,69,0,,success
session_orpda_20260214_072804_gemini-3-flash-preview-cloud_0.3_isabella.log,orpda,69,0,,success
session_orpa_20260214_072717_gemini-3-flash-preview-cloud_0.3_hailey.log,orpa,57,0,,success
session_orpda_20260214_072656_gemini-3-flash-preview-cloud_0.3_hailey.log,orpda,57,4,datetime_start_o vs datetime_start_d: 1; datetime_start_r vs datetime_start_d: 1; datetime_start_p vs datetime_start_d: 1; datetime_start_d vs datetime_start_a: 1,success
session_orpda_20260214_072651_gemini-3-flash-preview-cloud_0.5_hailey.log,orpda,57,0,,success
session_orpda_20260214_072647_gemini-3-flash-preview-cloud_0.7_hailey.log,orpda,57,0,,success
